"80.1. Хабалова Земфира : О, бирæ адæм ис, æртæккæ дæр бирæ и.",0
"176.2. Æмæ, дам, гъе уæд мæнæ афтæ… Вот этот…",2
"2.11. Нал æй уарзынц, æвæццæгæн, нал æй нымайынц.",0
"9.2. Джеоргуыбайы куывд, Хетæджы куывд.",0
"21. Алдатова : Омæ, йер цы радзурон, нæ йæ зонын, раст дын куы зæгъон.",0
50.2. Тæригъæд ын кодтон.,0
"7.2. Йæ фыдыфыд… мæ фыдыфыдимæ-иу куыста, ацыди æмæ-иу ын æххуыс кодта.",0
171.1. Йер æй… афтæ уыди гъе уæды заманы.,0
4. Кæмæй у йæ мыггаг?,0
"34.6. Уымæн æмæ алкæй раз дæр водкæйы авг, æмæ кæй цы куыд, афтæ кæны, æмæ нуазы.",0
"11.1. Биджелова Серафима : Графины дзаг арахъ æрæвæрдта, æмæ-иу ныхæстæ кодтой, кодтой, кодтой, æмæ-иу кæд банызтой фæйнæ ахæмы дыууæ лæджы.",1
"112. Зангиева Алла : Ирон æгъдау фæстæмæ куы равзæрид, уæд, конечно, хорз уаид, фæлæ…",1
"173.2. Æмæ гъе уым алы йедæн… Мæнæ афтæ кругыл йед… алы хъæуæн дæр йæхицæн бынат, æмæ дзы такой…",1
1.3. Лæппу фиййау цыдис.,0
160.2. Уæд фыццаг скъола гъе уый уыди.,0
"209.2. Уый æрцахстон, ныр та ма цы!",0
59.1. Джикаева Альбина : Йер математикæйы дæр иронау хъуыды кæнынц.,1
"106.3. Æмæ йер цас раст у, сахат райс æмæ йæ физкультурæйæн ратт?",1
"92.1. Хайретдинова : Æмæ æнæуый раздæр первый скъола уыди æмæ дзы обучение велось на осетинском языке, национальны скъола уыди.",7
200. Зоя : О.,0
"6.3. Æмæ-иу уæд уым загътой, уæдæй æрхæсдзыстæм, кæнæ-иу иу дыууæ къуырийы загътой, кæнæ æртæ къуырийы, кæнæ мæй.",0
"85.1. Зоя : Аргæ… йер-иу мæнæ кæлмы тедтæ кæм арæхдæр и, уыцы цыкуырайы фæрдыг-иу уым уыд.",0
